GENESIS-Tabelle: Temporär
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2011;08121;      Heilbronn, Kreisfreie Stadt;82;11889;502281
30.09.2011;08125;      Heilbronn, Landkreis;308;47274;2172887
30.09.2011;08125001;        Abstatt;8;.;.
30.09.2011;08125005;        Bad Friedrichshall;11;1044;42828
30.09.2011;08125006;        Bad Rappenau, Stadt;12;868;31832
30.09.2011;08125007;        Bad Wimpfen;3;.;.
30.09.2011;08125008;        Beilstein, Württ;1;.;.
30.09.2011;08125013;        Brackenheim;16;1353;56103
30.09.2011;08125017;        Cleebronn;5;321;9230
30.09.2011;08125021;        Eberstadt;3;.;.
30.09.2011;08125024;        Ellhofen;2;.;.
30.09.2011;08125026;        Eppingen, Stadt;27;1887;84333
30.09.2011;08125027;        Erlenbach;5;347;11168
30.09.2011;08125030;        Flein;2;.;.
30.09.2011;08125034;        Gemmingen;7;580;24978
30.09.2011;08125038;        Güglingen;11;2155;89980
30.09.2011;08125039;        Gundelsheim, Württ;4;.;.
30.09.2011;08125046;        Ilsfeld;13;838;24513
30.09.2011;08125047;        Ittlingen;4;.;.
30.09.2011;08125048;        Jagsthausen;2;.;.
30.09.2011;08125049;        Kirchardt;11;933;31650
30.09.2011;08125056;        Lauffen am Neckar;12;1318;49161
30.09.2011;08125057;        Lehrensteinsfeld;1;.;.
30.09.2011;08125058;        Leingarten;11;1492;56226
30.09.2011;08125059;        Löwenstein;1;.;.
30.09.2011;08125061;        Massenbachhausen;2;.;.
30.09.2011;08125063;        Möckmühl;6;631;28283
30.09.2011;08125065;        Neckarsulm, Stadt;22;.;.
30.09.2011;08125066;        Neckarwestheim;3;121;4489
30.09.2011;08125068;        Neudenau;7;463;10198
30.09.2011;08125069;        Neuenstadt am Kocher;13;1567;61863
30.09.2011;08125074;        Nordheim, Württ;4;.;.
30.09.2011;08125078;        Oedheim;2;.;.
30.09.2011;08125079;        Offenau;6;582;20282
30.09.2011;08125081;        Pfaffenhofen;4;294;9397
30.09.2011;08125084;        Roigheim;1;.;.
30.09.2011;08125086;        Schwaigern;16;1633;51661
30.09.2011;08125087;        Siegelsbach;3;.;.
30.09.2011;08125094;        Talheim, Neckar;10;615;22955
30.09.2011;08125096;        Untereisesheim;0;0;0
30.09.2011;08125098;        Untergruppenbach;3;.;.
30.09.2011;08125102;        Weinsberg;8;724;33930
30.09.2011;08125103;        Widdern;1;.;.
30.09.2011;08125107;        Wüstenrot;2;.;.
30.09.2011;08125108;        Zaberfeld;3;.;.
30.09.2011;08125110;        Obersulm;11;1181;37379
30.09.2011;08125111;        Hardthausen am Kocher;4;169;7013
30.09.2011;08125113;        Langenbrettach;5;223;6396
_____
zu 'gesamte Tabelle':
Deutschland: Eventuelle Differenzen zwischen dem Ergebnis
für Deutschland und der Summe der Länder beruhen auf
nachträglichen Ergebniskorrekturen einzelner Länder nach
Aufbereitung und Veröffentlichung des Bundesergebnisses.

Sachsen: ab 2010 Gebietsstand 01.01. des Folgejahres.
_____
(C)opyright Statistische Ämter des Bundes und der Länder, 2013
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet.
Stand: 09.07.2013 / 15:11:32
