GENESIS-Tabelle: Temporär
Straßenverkehrsunfälle, verunglückte Personen;;;;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;
2011;;;;;;;
;;Unfälle (insgesamt);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i. e. S.;Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel;Getötete Personen;Verletzte Personen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
08121;      Heilbronn, Kreisfreie Stadt;713;470;203;40;5;579
08125;      Heilbronn, Landkreis;1431;887;488;56;17;1155
08125001;        Abstatt;13;10;3;0;0;15
08125005;        Bad Friedrichshall;69;33;32;4;1;41
08125006;        Bad Rappenau, Stadt;93;51;40;2;1;71
08125007;        Bad Wimpfen;25;17;7;1;0;21
08125008;        Beilstein, Württ;21;15;5;1;0;16
08125013;        Brackenheim;56;34;20;2;0;39
08125017;        Cleebronn;8;6;2;0;0;11
08125021;        Eberstadt;17;7;9;1;0;7
08125024;        Ellhofen;23;17;5;1;0;24
08125026;        Eppingen, Stadt;91;58;29;4;0;66
08125027;        Erlenbach;39;23;13;3;3;32
08125030;        Flein;13;10;3;0;2;12
08125034;        Gemmingen;19;11;7;1;0;18
08125038;        Güglingen;24;19;4;1;0;27
08125039;        Gundelsheim, Württ;32;19;12;1;0;24
08125046;        Ilsfeld;62;41;18;3;0;54
08125047;        Ittlingen;7;6;1;0;0;6
08125048;        Jagsthausen;3;2;1;0;0;2
08125049;        Kirchardt;25;6;17;2;0;7
08125056;        Lauffen am Neckar;59;40;16;3;0;49
08125057;        Lehrensteinsfeld;3;1;2;0;0;1
08125058;        Leingarten;38;24;13;1;0;33
08125059;        Löwenstein;21;13;8;0;0;16
08125061;        Massenbachhausen;9;6;3;0;0;6
08125063;        Möckmühl;36;17;19;0;1;23
08125065;        Neckarsulm, Stadt;187;114;68;5;1;153
08125066;        Neckarwestheim;5;2;2;1;0;2
08125068;        Neudenau;16;9;7;0;0;9
08125069;        Neuenstadt am Kocher;46;25;18;3;1;40
08125074;        Nordheim, Württ;17;11;6;0;0;14
08125078;        Oedheim;16;6;9;1;0;11
08125079;        Offenau;7;6;1;0;0;6
08125081;        Pfaffenhofen;10;8;2;0;0;8
08125084;        Roigheim;3;3;0;0;0;3
08125086;        Schwaigern;42;22;19;1;0;34
08125087;        Siegelsbach;10;5;4;1;0;6
08125094;        Talheim, Neckar;26;18;7;1;1;31
08125096;        Untereisesheim;10;8;2;0;0;9
08125098;        Untergruppenbach;38;29;7;2;2;39
08125102;        Weinsberg;80;51;24;5;1;61
08125103;        Widdern;16;9;4;3;1;13
08125107;        Wüstenrot;27;23;3;1;1;25
08125108;        Zaberfeld;15;13;2;0;0;21
08125110;        Obersulm;34;28;5;1;0;34
08125111;        Hardthausen am Kocher;10;3;7;0;0;3
08125113;        Langenbrettach;10;8;2;0;1;12
_____
zu 'gesamte Tabelle':
Baden-Württemberg: Berichtsjahr 2008-2010 Gebietsstand
"01.01.2009; ab Berichtsjahr 2011 Gebietsstand 01.01.2011"
Rheinland-Pfalz: ab 2011 Gebietsstand des Folgejahres.

zu 'Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel':
bis 2007 'Alkoholunfälle ohne Personen- und schwerwiegenden
"Sachschäden';"
ab 2008 'Unfälle - unter dem Einfluss berauschender Mittel'
_____
(C)opyright Statistische Ämter des Bundes und der Länder, 2013
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet.
Stand: 09.07.2013 / 15:14:05
