GENESIS-Tabelle: Temporär
Bodenfläche nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;;;;;;;;;;;;;;;;;
Flächenerhebung nach Art der tatsächlichen Nutzung;;;;;;;;;;;;;;;;;;;;
31.12.2011;;;;;;;;;;;;;;;;;;;;
;;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche;Bodenfläche
;;;Siedlungs- und Verkehrsfläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Gebäude- und Freifläche;Betriebsfläche (ohne Abbauland);Erholungsfläche;Erholungsfläche;Friedhofsfläche;Verkehrsfläche;Verkehrsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Landwirtschaftsfläche;Waldfläche;Wasserfläche;Abbauland;Flächen anderer Nutzung;Flächen anderer Nutzung
;;;;Insgesamt;Wohnen;Gewerbe, Industrie;;Insgesamt;Grünanlage;;Insgesamt;Straße, Weg, Platz;Insgesamt;Moor;Heide;;;;Insgesamt;Unland
;;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha;ha
08121;      Heilbronn, Kreisfreie Stadt;9988;3543;2097;1067;535;66;229;160;43;1107;989;4746;0;0;1421;217;12;49;43
08125;      Heilbronn, Landkreis;109993;18902;9327;4985;1627;112;1430;812;114;7919;7520;61103;0;4;28122;1231;134;502;496
08125001;        Abstatt;966;246;145;60;50;1;14;8;1;85;85;442;0;0;270;7;0;2;2
08125005;        Bad Friedrichshall;2470;702;404;214;78;2;39;26;8;249;202;1477;0;0;181;85;1;24;24
08125006;        Bad Rappenau, Stadt;7355;1329;618;333;89;13;171;85;8;519;489;4609;0;0;1303;68;3;42;42
08125007;        Bad Wimpfen;1938;350;173;92;29;0;8;6;2;166;149;1279;0;0;257;31;0;20;20
08125008;        Beilstein, Württ;2525;315;149;98;7;0;30;26;1;134;134;1055;0;0;1128;14;0;12;12
