GENESIS-Tabelle: Temporär
Wasser- und Abwasserentgelte: Entgelt für die Trinkwasser-;;;;
versorgung privater Haushalte - Stichtag 01.01. -;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;
Erhebung der Wasser- und Abwasserentgelte;;;;
;;;Entgelt f. Trinkwasserversorgung priv. Haushalte;Entgelt f. Trinkwasserversorgung priv. Haushalte
;;;verbrauchsabhängiges Entgelt pro cbm;haushaltsübliches verbrauchsunabh. Entgelt p. Jahr
;;;EUR;EUR
01.01.2010;08121;      Heilbronn, Kreisfreie Stadt;2,30;29,53
01.01.2010;08125;      Heilbronn, Landkreis;1,86;22,87
01.01.2010;08125001;        Abstatt;1,61;10,32
01.01.2010;08125005;        Bad Friedrichshall;1,83;7,20
01.01.2010;08125006;        Bad Rappenau, Stadt;1,61;51,36
01.01.2010;08125007;        Bad Wimpfen;1,42;16,44
01.01.2010;08125008;        Beilstein, Württ;2,03;13,08
01.01.2010;08125013;        Brackenheim;1,64;3,96
01.01.2010;08125017;        Cleebronn;2,14;0,00
01.01.2010;08125021;        Eberstadt;2,14;23,16
01.01.2010;08125024;        Ellhofen;2,35;27,00
01.01.2010;08125026;        Eppingen, Stadt;1,47;35,28
01.01.2010;08125027;        Erlenbach;1,89;10,44
01.01.2010;08125030;        Flein;1,99;11,16
01.01.2010;08125034;        Gemmingen;1,61;51,36
01.01.2010;08125038;        Güglingen;1,87;12,84
01.01.2010;08125039;        Gundelsheim, Württ;2,46;23,16
01.01.2010;08125046;        Ilsfeld;1,44;55,20
01.01.2010;08125047;        Ittlingen;1,47;35,28
01.01.2010;08125048;        Jagsthausen;1,47;16,68
01.01.2010;08125049;        Kirchardt;1,47;35,28
01.01.2010;08125056;        Lauffen am Neckar;1,93;46,20
01.01.2010;08125057;        Lehrensteinsfeld;2,46;26,28
01.01.2010;08125058;        Leingarten;1,61;0,00
01.01.2010;08125059;        Löwenstein;3,16;4,92
01.01.2010;08125061;        Massenbachhausen;1,28;33,36
01.01.2010;08125063;        Möckmühl;1,93;9,84
01.01.2010;08125065;        Neckarsulm, Stadt;1,98;21,72
01.01.2010;08125066;        Neckarwestheim;0,80;16,08
01.01.2010;08125068;        Neudenau;2,18;17,76
01.01.2010;08125069;        Neuenstadt am Kocher;1,82;20,28
01.01.2010;08125074;        Nordheim, Württ;1,80;6,60
01.01.2010;08125078;        Oedheim;1,80;33,12
01.01.2010;08125079;        Offenau;1,61;51,36
01.01.2010;08125081;        Pfaffenhofen;1,64;16,44
01.01.2010;08125084;        Roigheim;2,68;13,80
01.01.2010;08125086;        Schwaigern;1,94;13,92
01.01.2010;08125087;        Siegelsbach;1,61;51,36
01.01.2010;08125094;        Talheim, Neckar;1,66;11,16
01.01.2010;08125096;        Untereisesheim;1,66;5,52
01.01.2010;08125098;        Untergruppenbach;1,77;9,72
01.01.2010;08125102;        Weinsberg;2,16;23,16
01.01.2010;08125103;        Widdern;3,69;25,68
01.01.2010;08125107;        Wüstenrot;2,69;19,68
01.01.2010;08125108;        Zaberfeld;1,88;13,08
01.01.2010;08125110;        Obersulm;2,28;43,68
01.01.2010;08125111;        Hardthausen am Kocher;2,14;3,36
01.01.2010;08125113;        Langenbrettach;2,41;19,32
_____
zu 'gesamter Tabelle'
Alle Länder: nur angeschlossene Gemeinden.

Sachsen: 2008 bis 2010 Gebietsstand: 31.12.2009
Sachsen-Anhalt: 2008 bis 2010 Gebietstand 01.01.2009

Bayern:  Für die Berechnung der gewichteten
Durchschnittswerte von Kreisen, Regierungsbezirken und Land
werden in dieser Tabelle auch die Gemeinden einbezogen in
denen die jeweiligen Entgeltarten nicht vorkommen.
Dadurch ergeben sich für das Merkmal  haushaltsübliches
verbrauchsunabhängiges Entgelt/Jahr  bei den aufgeführten
Ebenen von den Werten anderer Veröffentlichungen abweichende
Beträge, weil dort für die Berechnung nur merkmalstragende
Gemeinden herangezogen werden.
_____
(C)opyright Statistische Ämter des Bundes und der Länder, 2013
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet.
Stand: 09.07.2013 / 14:49:25
