GENESIS-Tabelle: Temporär
Arbeitslose nach ausgewählten Personengruppen;;;;;;;;
- Jahresdurchschnitt -;;;;;;;;
regionale Tiefe: Gemeinden, Samt-/Verbandsgemeinden;;;;;;;;
Arbeitsmarktstatistik der Bundesanstalt für Arbeit;;;;;;;;
Jahr: 2012;;;;;;;;
;;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose;Arbeitslose
;;;Ausländer;schwerbehindert;15 bis unter 20 Jahre;15 bis unter 25 Jahre;55 bis unter 65 Jahre;langzeitarbeitslos
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
08121;      Heilbronn, Kreisfreie Stadt;3766;1304;293;60;327;677;1080
08125;      Heilbronn, Landkreis;6333;1460;504;96;585;1368;1900
08125001;        Abstatt;69;11;4;1;5;14;17
08125005;        Bad Friedrichshall;508;149;34;8;42;121;200
08125006;        Bad Rappenau, Stadt;380;71;36;5;37;78;96
08125007;        Bad Wimpfen;165;35;14;2;15;34;46
08125008;        Beilstein, Württ;113;28;7;0;10;28;38
08125013;        Brackenheim;285;65;19;5;31;69;89
08125017;        Cleebronn;52;11;8;1;5;10;14
08125021;        Eberstadt;44;6;3;1;2;8;12
08125024;        Ellhofen;50;10;6;1;5;11;14
08125026;        Eppingen, Stadt;519;125;42;7;47;108;163
08125027;        Erlenbach;73;18;8;1;6;16;14
08125030;        Flein;78;11;4;1;5;21;21
08125034;        Gemmingen;90;28;10;2;11;23;22
08125038;        Güglingen;139;53;15;4;18;24;37
08125039;        Gundelsheim, Württ;106;16;10;2;10;28;31
08125046;        Ilsfeld;137;22;12;2;13;24;34
08125047;        Ittlingen;58;13;6;0;5;13;15
08125048;        Jagsthausen;19;4;2;0;2;7;6
08125049;        Kirchardt;149;44;12;4;16;22;50
08125056;        Lauffen am Neckar;269;76;17;5;22;54;87
08125057;        Lehrensteinsfeld;22;3;2;0;2;3;8
08125058;        Leingarten;168;42;17;4;18;33;41
08125059;        Löwenstein;39;5;3;0;1;9;9
08125061;        Massenbachhausen;62;15;2;1;7;9;12
08125063;        Möckmühl;177;26;12;3;15;39;58
08125065;        Neckarsulm, Stadt;643;210;43;8;51;121;226
08125066;        Neckarwestheim;60;16;5;1;6;14;13
08125068;        Neudenau;86;16;7;1;6;20;31
08125069;        Neuenstadt am Kocher;170;36;8;3;16;37;58
08125074;        Nordheim, Württ;137;30;11;2;16;32;33
08125078;        Oedheim;88;19;7;1;11;16;27
08125079;        Offenau;41;9;1;1;5;6;13
08125081;        Pfaffenhofen;46;15;4;1;5;12;14
08125084;        Roigheim;26;5;4;1;5;7;7
08125086;        Schwaigern;180;47;19;2;21;35;48
08125087;        Siegelsbach;41;5;4;1;4;6;9
08125094;        Talheim, Neckar;82;14;10;0;6;20;22
08125096;        Untereisesheim;70;15;7;1;5;25;25
08125098;        Untergruppenbach;99;16;8;2;9;25;23
08125102;        Weinsberg;233;50;19;2;18;50;69
08125103;        Widdern;35;5;3;0;3;10;12
08125107;        Wüstenrot;93;7;7;1;9;27;25
08125108;        Zaberfeld;92;15;10;2;8;24;29
08125110;        Obersulm;250;37;16;3;24;49;59
08125111;        Hardthausen am Kocher;50;3;3;0;4;15;15
08125113;        Langenbrettach;40;5;3;1;3;7;11
_____
zu 'gesamte Tabelle':
Quelle: Arbeitsmarktstatistik der Bundesagentur für Arbeit
(BA).
Die Daten zur Arbeitslosigkeit basieren seit der Einführung
des Sozialgesetzbuches II zum Jahresbeginn 2005 auf
Informationen aus dem IT-Fachverfahren der BA, aus plausibel
bewerteten Datenlieferungen zugelassener kommunaler Träger
und - sofern keine plausiblen Daten geliefert wurden - aus
ergänzenden Schätzungen der BA.
Bestandsergebnisse sind nach soziodemografischen Merkmalen
(Geschlecht, Altersgruppen, Nationalität) und regionalen
Gebietsstrukturen (politisch bis auf Kreis-/Gemeindeebene,
BA- und SGB II Gebietsstruktur) verfügbar.

Weitere Informationen zur Methode, Statistikverfahren,
Datenqualität können dem entsprechenden Qualitätsbericht der
BA entnommen werden:
http://www.pub.arbeitsagentur.de/hst/services/statistik/0002
00/html/qualitaetsberichte/statistik-arbeitslose-arbeitsuche
nde.pdf

1) Die arithmetische Summierung der ausgewiesenen
Gemeindeergebnisse kann in Einzelfällen leicht von den
Kreisergebnissen abweichen.

2) In Einzelfällen kann es vorkommen, dass Gemeinden, die im
Laufe des jeweiligen Berichtsjahres im Zuge von
Gebietsstandsänderungen ungültig geworden sind (z.B.:
Gemeindezusammenlegungen u-Ä.) nicht mit ihrem bisherigen
AGS ausgewiesen werden.
_____
(C)opyright Statistische Ämter des Bundes und der Länder, 2013
Vervielfältigung und Verbreitung, auch auszugsweise,
mit Quellenangabe gestattet.
Stand: 09.07.2013 / 15:06:55
